NO,KODE PROV,PROVINSI,TAHUN,IKP,PERINGKAT,Kelompok IKP,Kerentanan Area
1,11,ACEH,2019,66.22,23,5,Tahan
2,12,SUMATERA UTARA,2019,69.81,16,5,Tahan
3,13,SUMATERA BARAT,2019,75.43,9,6,Sangat Tahan
4,14,RIAU,2019,62.37,25,4,Agak Tahan
5,15,JAMBI,2019,68.23,19,5,Tahan
6,16,SUMATERA SELATAN,2019,69.3,17,5,Tahan
7,17,BENGKULU,2019,61.78,26,4,Agak Tahan
8,18,LAMPUNG,2019,71.36,15,5,Tahan
9,19,KEPULAUAN BANGKA BELITUNG,2019,56.03,29,3,Agak Rentan
10,21,KEPULAUAN RIAU,2019,59.26,28,4,Agak Tahan
11,31,DKI JAKARTA,2019,66.87,21,5,Tahan
12,32,JAWA BARAT,2019,76.44,8,6,Sangat Tahan
13,33,JAWA TENGAH,2019,78.85,4,6,Sangat Tahan
14,34,DI YOGYAKARTA,2019,83.63,2,6,Sangat Tahan
15,35,JAWA TIMUR,2019,73.71,12,5,Tahan
16,36,BANTEN,2019,74.47,11,6,Sangat Tahan
17,51,BALI,2019,85.15,1,6,Sangat Tahan
18,52,NUSA TENGGARA BARAT,2019,62.43,24,4,Agak Tahan
19,53,NUSA TENGGARA TIMUR,2019,50.69,32,3,Agak Rentan
20,61,KALIMANTAN BARAT,2019,55.17,30,3,Agak Rentan
21,62,KALIMANTAN TENGAH,2019,71.57,14,5,Tahan
22,63,KALIMANTAN SELATAN,2019,74.71,10,6,Sangat Tahan
23,64,KALIMANTAN TIMUR,2019,76.9,7,6,Sangat Tahan
24,65,KALIMANTAN UTARA,2019,73.12,13,5,Tahan
25,71,SULAWESI UTARA,2019,81.44,3,6,Sangat Tahan
26,72,SULAWESI TENGAH,2019,68.17,20,5,Tahan
27,73,SULAWESI SELATAN,2019,78.69,5,6,Sangat Tahan
28,74,SULAWESI TENGGARA,2019,76.99,6,6,Sangat Tahan
29,75,GORONTALO,2019,69.06,18,5,Tahan
30,76,SULAWESI BARAT,2019,60.37,27,4,Agak Tahan
31,81,MALUKU,2019,52.35,31,3,Agak Rentan
32,82,MALUKU UTARA,2019,66.58,22,5,Tahan
33,91,PAPUA BARAT,2019,30.12,33,1,Sangat Rentan
34,94,PAPUA,2019,25.13,34,1,Sangat Rentan
35,11,ACEH,2020,70.92,24,5,Tahan
36,12,SUMATERA UTARA,2020,71.84,21,5,Tahan
37,13,SUMATERA BARAT,2020,78.64,8,6,Sangat Tahan
38,14,RIAU,2020,64.12,29,4,Agak Tahan
39,15,JAMBI,2020,70,26,5,Tahan
40,16,SUMATERA SELATAN,2020,68.67,27,5,Tahan
41,17,BENGKULU,2020,70.28,25,5,Tahan
42,18,LAMPUNG,2020,77.43,12,6,Sangat Tahan
43,19,KEPULAUAN BANGKA BELITUNG,2020,71.21,22,5,Tahan
44,21,KEPULAUAN RIAU,2020,62.7,31,4,Agak Tahan
45,31,DKI JAKARTA,2020,77.97,10,6,Sangat Tahan
46,32,JAWA BARAT,2020,76.78,14,6,Sangat Tahan
47,33,JAWA TENGAH,2020,82.31,2,6,Sangat Tahan
48,34,DI YOGYAKARTA,2020,80.67,4,6,Sangat Tahan
49,35,JAWA TIMUR,2020,79.9,7,6,Sangat Tahan
50,36,BANTEN,2020,73.48,18,5,Tahan
51,51,BALI,2020,84.54,1,6,Sangat Tahan
52,52,NUSA TENGGARA BARAT,2020,75.6,16,6,Sangat Tahan
53,53,NUSA TENGGARA TIMUR,2020,66.92,28,5,Tahan
54,61,KALIMANTAN BARAT,2020,71.13,23,5,Tahan
55,62,KALIMANTAN TENGAH,2020,72.58,19,5,Tahan
56,63,KALIMANTAN SELATAN,2020,80.04,6,6,Sangat Tahan
57,64,KALIMANTAN TIMUR,2020,78.24,9,6,Sangat Tahan
58,65,KALIMANTAN UTARA,2020,71.9,20,5,Tahan
59,71,SULAWESI UTARA,2020,77.79,11,6,Sangat Tahan
60,72,SULAWESI TENGAH,2020,75.1,17,6,Sangat Tahan
61,73,SULAWESI SELATAN,2020,81.81,3,6,Sangat Tahan
62,74,SULAWESI TENGGARA,2020,77.06,13,6,Sangat Tahan
63,75,GORONTALO,2020,80.4,5,6,Sangat Tahan
64,76,SULAWESI BARAT,2020,76.36,15,6,Sangat Tahan
65,81,MALUKU,2020,58.15,32,4,Agak Tahan
66,82,MALUKU UTARA,2020,63.12,30,4,Agak Tahan
67,91,PAPUA BARAT,2020,49.4,33,3,Agak Rentan
68,94,PAPUA,2020,34.79,34,1,Sangat Rentan
69,11,ACEH,2021,71.63,24,5,Tahan
70,12,SUMATERA UTARA,2021,72.25,23,5,Tahan
71,13,SUMATERA BARAT,2021,79.55,8,6,Sangat Tahan
72,14,RIAU,2021,66.84,29,5,Tahan
73,15,JAMBI,2021,74.18,19,5,Tahan
74,16,SUMATERA SELATAN,2021,69.55,27,5,Tahan
75,17,BENGKULU,2021,70.32,26,5,Tahan
76,18,LAMPUNG,2021,77.96,11,6,Sangat Tahan
77,19,KEPULAUAN BANGKA BELITUNG,2021,73.22,21,5,Tahan
78,21,KEPULAUAN RIAU,2021,63.26,30,4,Agak Tahan
79,31,DKI JAKARTA,2021,78.01,10,6,Sangat Tahan
80,32,JAWA BARAT,2021,77.79,12,6,Sangat Tahan
81,33,JAWA TENGAH,2021,82.73,2,6,Sangat Tahan
82,34,DI YOGYAKARTA,2021,81.43,3,6,Sangat Tahan
83,35,JAWA TIMUR,2021,79.7,7,6,Sangat Tahan
84,36,BANTEN,2021,74.38,18,5,Tahan
85,51,BALI,2021,83.82,1,6,Sangat Tahan
86,52,NUSA TENGGARA BARAT,2021,75.67,16,6,Sangat Tahan
87,53,NUSA TENGGARA TIMUR,2021,67.35,28,5,Tahan
88,61,KALIMANTAN BARAT,2021,71.32,25,5,Tahan
89,62,KALIMANTAN TENGAH,2021,73.68,20,5,Tahan
90,63,KALIMANTAN SELATAN,2021,80.29,6,6,Sangat Tahan
91,64,KALIMANTAN TIMUR,2021,77.46,13,6,Sangat Tahan
92,65,KALIMANTAN UTARA,2021,73.02,22,5,Tahan
93,71,SULAWESI UTARA,2021,78.3,9,6,Sangat Tahan
94,72,SULAWESI TENGAH,2021,75.73,15,6,Sangat Tahan
