KODE PROV,PROVINSI,TAHUN,IKP,PERINGKAT
11,ACEH,2025,69.99983398,25
12,SUMATERA UTARA,2025,71.46633133,22
13,SUMATERA BARAT,2025,77.72382799,7
14,RIAU,2025,70.41900349,23
15,JAMBI,2025,76.16057043,9
16,SUMATERA SELATAN,2025,79.30967013,4
17,BENGKULU,2025,69.88672177,26
18,LAMPUNG,2025,73.05947231,15
19,KEPULAUAN BANGKA BELITUNG,2025,78.19994362,5
21,KEPULAUAN RIAU,2025,71.95641623,19
31,DKI JAKARTA,2025,71.51831368,20
32,JAWA BARAT,2025,74.94581734,10
33,JAWA TENGAH,2025,73.7328521,13
34,DAERAH ISTIMEWA YOGYAKARTA,2025,77.43917119,8
35,JAWA TIMUR,2025,72.66925023,16
36,BANTEN,2025,77.78463497,6
51,BALI,2025,79.88907567,3
52,NUSA TENGGARA BARAT,2025,74.69632821,11
53,NUSA TENGGARA TIMUR,2025,58.24444334,32
61,KALIMANTAN BARAT,2025,71.51600365,21
62,KALIMANTAN TENGAH,2025,73.61931602,14
63,KALIMANTAN SELATAN,2025,81.98425696,1
64,KALIMANTAN TIMUR,2025,80.81758516,2
65,KALIMANTAN UTARA,2025,72.55675647,17
71,SULAWESI UTARA,2025,72.49022073,18
72,SULAWESI TENGAH,2025,70.39814533,24
73,SULAWESI SELATAN,2025,74.29750861,12
74,SULAWESI TENGGARA,2025,67.55545479,28
75,GORONTALO,2025,69.74535792,27
76,SULAWESI BARAT,2025,67.07631489,29
81,MALUKU,2025,57.1792945,34
82,MALUKU UTARA,2025,58.27174738,31
91,PAPUA,2025,57.45401658,33
92,PAPUA BARAT,2025,58.60756849,30
93,PAPUA SELATAN,2025,53.96446544,36
94,PAPUA TENGAH,2025,41.60923467,37
95,PAPUA PEGUNUNGAN,2025,31.96276302,38
96,PAPUA BARAT DAYA,2025,57.15459159,35
