38 Provinsi,,
,Margin Perdagangan dan Pengangkutan (MPP) Komoditas Beras Menurut Provinsi,
,Margin Perdagangan dan Pengangkutan/MPP Total (%),Jumlah Rantai Utama
,2024,2024
ACEH,5.61,2
SUMATERA UTARA,24.35,4
SUMATERA BARAT,5.36,2
RIAU,8.55,3
JAMBI,7.49,2
SUMATERA SELATAN,34.16,3
BENGKULU,7.41,2
LAMPUNG,8.42,2
KEP. BANGKA BELITUNG,10.8,3
KEP. RIAU,19.28,4
DKI JAKARTA,4.46,3
JAWA BARAT,20.28,3
JAWA TENGAH,18.03,3
DI YOGYAKARTA,18.41,2
JAWA TIMUR,17.01,3
BANTEN,12.48,2
BALI,5.43,2
NUSA TENGGARA BARAT,29.27,3
NUSA TENGGARA TIMUR,14.62,3
KALIMANTAN BARAT,15.38,2
KALIMANTAN TENGAH,26.1,3
KALIMANTAN SELATAN,4.2,2
KALIMANTAN TIMUR,7.52,3
KALIMANTAN UTARA,20.84,3
SULAWESI UTARA,17.06,3
SULAWESI TENGAH,10.1,3
SULAWESI SELATAN,7.76,2
SULAWESI TENGGARA,34.62,3
GORONTALO,17.48,2
SULAWESI BARAT,14.52,3
MALUKU,46.87,4
MALUKU UTARA,34.26,3
PAPUA BARAT,55.62,3
PAPUA BARAT DAYA,-,-
PAPUA,35.92,3
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,18.72,3
