PROVINSI,TANGGAL,HARGA_BERAS
ACEH,2019-01-01,10750.0
ACEH,2019-02-01,10600.0
ACEH,2019-03-01,10150.0
ACEH,2019-04-01,10000.0
ACEH,2019-05-01,10100.0
ACEH,2019-06-01,10150.0
ACEH,2019-07-01,10150.0
ACEH,2019-08-01,10150.0
ACEH,2019-09-01,10150.0
ACEH,2019-10-01,10150.0
ACEH,2019-11-01,10150.0
ACEH,2019-12-01,10250.0
ACEH,2020-01-01,10350.0
ACEH,2020-02-01,10300.0
ACEH,2020-03-01,10150.0
ACEH,2020-04-01,10200.0
ACEH,2020-05-01,10300.0
ACEH,2020-06-01,10300.0
ACEH,2020-07-01,10300.0
ACEH,2020-08-01,10250.0
ACEH,2020-09-01,10250.0
ACEH,2020-10-01,10250.0
ACEH,2020-11-01,10200.0
ACEH,2020-12-01,10250.0
ACEH,2021-01-01,10250.0
ACEH,2021-02-01,10200.0
ACEH,2021-03-01,10150.0
ACEH,2021-04-01,10150.0
ACEH,2021-05-01,10100.0
ACEH,2021-06-01,10100.0
ACEH,2021-07-01,10100.0
ACEH,2021-08-01,10100.0
ACEH,2021-09-01,10100.0
ACEH,2021-10-01,10100.0
ACEH,2021-11-01,10150.0
ACEH,2021-12-01,10200.0
ACEH,2022-01-01,10350.0
ACEH,2022-02-01,10400.0
ACEH,2022-03-01,10400.0
ACEH,2022-04-01,10300.0
ACEH,2022-05-01,10300.0
ACEH,2022-06-01,10300.0
ACEH,2022-07-01,10300.0
ACEH,2022-08-01,10650.0
ACEH,2022-09-01,11050.0
ACEH,2022-10-01,11100.0
ACEH,2022-11-01,11000.0
ACEH,2022-12-01,11200.0
ACEH,2023-01-01,11600.0
ACEH,2023-02-01,12050.0
ACEH,2023-03-01,11750.0
ACEH,2023-04-01,11750.0
ACEH,2023-05-01,11750.0
ACEH,2023-06-01,11700.0
ACEH,2023-07-01,11900.0
ACEH,2023-08-01,12300.0
ACEH,2023-09-01,13250.0
ACEH,2023-10-01,13650.0
ACEH,2023-11-01,13650.0
