KODE_PROV,PROVINSI,TAHUN,IKP,PERINGKAT,KELOMPOK_IKP,KERENTANAN
11,ACEH,2019,66.22,23,5,Tahan
11,ACEH,2020,70.92,24,5,Tahan
11,ACEH,2021,71.63,24,5,Tahan
11,ACEH,2022,70.16,23,5,Tahan
11,ACEH,2023,72.96,22,5,Tahan
11,ACEH,2024,73.94,22,5,Tahan
11,ACEH,2025,69.99983398,25,4,Agak Tahan
51,BALI,2019,85.15,1,6,Sangat Tahan
51,BALI,2020,84.54,1,6,Sangat Tahan
51,BALI,2021,83.82,1,6,Sangat Tahan
51,BALI,2022,85.19,1,6,Sangat Tahan
51,BALI,2023,87.65,1,6,Sangat Tahan
51,BALI,2024,88.23,1,6,Sangat Tahan
51,BALI,2025,79.88907567,3,5,Tahan
36,BANTEN,2019,74.47,11,6,Sangat Tahan
36,BANTEN,2020,73.48,18,5,Tahan
36,BANTEN,2021,74.38,18,5,Tahan
36,BANTEN,2022,73.78,18,5,Tahan
36,BANTEN,2023,78.71,13,6,Sangat Tahan
36,BANTEN,2024,79.25,11,6,Sangat Tahan
36,BANTEN,2025,77.78463497,6,5,Tahan
17,BENGKULU,2019,61.78,26,4,Agak Tahan
17,BENGKULU,2020,70.28,25,5,Tahan
17,BENGKULU,2021,70.32,26,5,Tahan
17,BENGKULU,2022,67.99,28,5,Tahan
17,BENGKULU,2023,72.27,23,5,Tahan
17,BENGKULU,2024,73.39,24,5,Tahan
17,BENGKULU,2025,69.88672177,26,4,Agak Tahan
34,DAERAH ISTIMEWA YOGYAKARTA,2019,83.63,2,6,Sangat Tahan
34,DAERAH ISTIMEWA YOGYAKARTA,2020,80.67,4,6,Sangat Tahan
34,DAERAH ISTIMEWA YOGYAKARTA,2021,81.43,3,6,Sangat Tahan
34,DAERAH ISTIMEWA YOGYAKARTA,2022,80.88,5,6,Sangat Tahan
34,DAERAH ISTIMEWA YOGYAKARTA,2023,83.17,6,6,Sangat Tahan
34,DAERAH ISTIMEWA YOGYAKARTA,2024,84.15,5,6,Sangat Tahan
34,DAERAH ISTIMEWA YOGYAKARTA,2025,77.43917119,8,5,Tahan
31,DKI JAKARTA,2019,66.87,21,5,Tahan
31,DKI JAKARTA,2020,77.97,10,6,Sangat Tahan
31,DKI JAKARTA,2021,78.01,10,6,Sangat Tahan
31,DKI JAKARTA,2022,78.25,10,6,Sangat Tahan
31,DKI JAKARTA,2023,83.8,3,6,Sangat Tahan
31,DKI JAKARTA,2024,85.13,3,6,Sangat Tahan
31,DKI JAKARTA,2025,71.51831368,20,5,Tahan
75,GORONTALO,2019,69.06,18,5,Tahan
75,GORONTALO,2020,80.4,5,6,Sangat Tahan
75,GORONTALO,2021,80.52,5,6,Sangat Tahan
75,GORONTALO,2022,80.35,6,6,Sangat Tahan
75,GORONTALO,2023,81.63,9,6,Sangat Tahan
75,GORONTALO,2024,81.47,11,6,Sangat Tahan
75,GORONTALO,2025,69.74535792,27,4,Agak Tahan
15,JAMBI,2019,68.23,19,5,Tahan
15,JAMBI,2020,70.0,26,5,Tahan
15,JAMBI,2021,74.18,19,5,Tahan
15,JAMBI,2022,69.5,26,5,Tahan
15,JAMBI,2023,72.17,25,5,Tahan
15,JAMBI,2024,74.94,20,6,Sangat Tahan
15,JAMBI,2025,76.16057043,9,5,Tahan
32,JAWA BARAT,2019,76.44,8,6,Sangat Tahan
32,JAWA BARAT,2020,76.78,14,6,Sangat Tahan
32,JAWA BARAT,2021,77.79,12,6,Sangat Tahan
32,JAWA BARAT,2022,77.55,12,6,Sangat Tahan
32,JAWA BARAT,2023,82.19,8,6,Sangat Tahan
32,JAWA BARAT,2024,82.97,8,6,Sangat Tahan
32,JAWA BARAT,2025,74.94581734,10,5,Tahan
33,JAWA TENGAH,2019,78.85,4,6,Sangat Tahan
33,JAWA TENGAH,2020,82.31,2,6,Sangat Tahan
33,JAWA TENGAH,2021,82.73,2,6,Sangat Tahan
33,JAWA TENGAH,2022,82.95,2,6,Sangat Tahan
33,JAWA TENGAH,2023,84.8,2,6,Sangat Tahan
33,JAWA TENGAH,2024,85.34,2,6,Sangat Tahan
33,JAWA TENGAH,2025,73.7328521,13,5,Tahan
35,JAWA TIMUR,2019,73.71,12,5,Tahan
35,JAWA TIMUR,2020,79.9,7,6,Sangat Tahan
35,JAWA TIMUR,2021,79.7,7,6,Sangat Tahan
35,JAWA TIMUR,2022,79.85,7,6,Sangat Tahan
35,JAWA TIMUR,2023,82.46,7,6,Sangat Tahan
35,JAWA TIMUR,2024,83.86,6,6,Sangat Tahan
35,JAWA TIMUR,2025,72.66925023,16,5,Tahan
61,KALIMANTAN BARAT,2019,55.17,30,3,Agak Rentan
61,KALIMANTAN BARAT,2020,71.13,23,5,Tahan
61,KALIMANTAN BARAT,2021,71.32,25,5,Tahan
61,KALIMANTAN BARAT,2022,70.81,22,5,Tahan
61,KALIMANTAN BARAT,2023,72.2,24,5,Tahan
61,KALIMANTAN BARAT,2024,73.94,23,5,Tahan
61,KALIMANTAN BARAT,2025,71.51600365,21,5,Tahan
63,KALIMANTAN SELATAN,2019,74.71,10,6,Sangat Tahan
63,KALIMANTAN SELATAN,2020,80.04,6,6,Sangat Tahan
63,KALIMANTAN SELATAN,2021,80.29,6,6,Sangat Tahan
63,KALIMANTAN SELATAN,2022,81.05,4,6,Sangat Tahan
63,KALIMANTAN SELATAN,2023,81.26,11,6,Sangat Tahan
63,KALIMANTAN SELATAN,2024,82.95,9,6,Sangat Tahan
63,KALIMANTAN SELATAN,2025,81.98425696,1,6,Sangat Tahan
62,KALIMANTAN TENGAH,2019,71.57,14,5,Tahan
62,KALIMANTAN TENGAH,2020,72.58,19,5,Tahan
62,KALIMANTAN TENGAH,2021,73.68,20,5,Tahan
62,KALIMANTAN TENGAH,2022,69.96,24,5,Tahan
62,KALIMANTAN TENGAH,2023,68.9,28,5,Tahan
62,KALIMANTAN TENGAH,2024,70.16,29,5,Tahan
62,KALIMANTAN TENGAH,2025,73.61931602,14,5,Tahan
64,KALIMANTAN TIMUR,2019,76.9,7,6,Sangat Tahan
64,KALIMANTAN TIMUR,2020,78.24,9,6,Sangat Tahan
64,KALIMANTAN TIMUR,2021,77.46,13,6,Sangat Tahan
64,KALIMANTAN TIMUR,2022,77.65,11,6,Sangat Tahan
64,KALIMANTAN TIMUR,2023,72.29,12,5,Tahan
64,KALIMANTAN TIMUR,2024,78.61,13,6,Sangat Tahan
64,KALIMANTAN TIMUR,2025,80.81758516,2,6,Sangat Tahan
65,KALIMANTAN UTARA,2019,73.12,13,5,Tahan
65,KALIMANTAN UTARA,2020,71.9,20,5,Tahan
65,KALIMANTAN UTARA,2021,73.02,22,5,Tahan
65,KALIMANTAN UTARA,2022,71.04,21,5,Tahan
65,KALIMANTAN UTARA,2023,74.59,19,6,Sangat Tahan
65,KALIMANTAN UTARA,2024,75.77,19,6,Sangat Tahan
65,KALIMANTAN UTARA,2025,72.55675647,17,5,Tahan
19,KEPULAUAN BANGKA BELITUNG,2019,56.03,29,3,Agak Rentan
19,KEPULAUAN BANGKA BELITUNG,2020,71.21,22,5,Tahan
19,KEPULAUAN BANGKA BELITUNG,2021,73.22,21,5,Tahan
19,KEPULAUAN BANGKA BELITUNG,2022,71.71,19,5,Tahan
19,KEPULAUAN BANGKA BELITUNG,2023,71.14,27,5,Tahan
19,KEPULAUAN BANGKA BELITUNG,2024,70.21,28,5,Tahan
19,KEPULAUAN BANGKA BELITUNG,2025,78.19994362,5,5,Tahan
21,KEPULAUAN RIAU,2019,59.26,28,4,Agak Tahan
21,KEPULAUAN RIAU,2020,62.7,31,4,Agak Tahan
21,KEPULAUAN RIAU,2021,63.26,30,4,Agak Tahan
21,KEPULAUAN RIAU,2022,63.83,30,4,Agak Tahan
21,KEPULAUAN RIAU,2023,65.1,30,4,Agak Tahan
21,KEPULAUAN RIAU,2024,66.29,30,5,Tahan
21,KEPULAUAN RIAU,2025,71.95641623,19,5,Tahan
18,LAMPUNG,2019,71.36,15,5,Tahan
18,LAMPUNG,2020,77.43,12,6,Sangat Tahan
18,LAMPUNG,2021,77.96,11,6,Sangat Tahan
18,LAMPUNG,2022,78.61,9,6,Sangat Tahan
18,LAMPUNG,2023,81.56,10,6,Sangat Tahan
18,LAMPUNG,2024,82.58,10,6,Sangat Tahan
18,LAMPUNG,2025,73.05947231,15,5,Tahan
81,MALUKU,2019,52.35,31,3,Agak Rentan
81,MALUKU,2020,58.15,32,4,Agak Tahan
81,MALUKU,2021,58.7,32,4,Agak Tahan
81,MALUKU,2022,60.2,31,4,Agak Tahan
81,MALUKU,2023,64.37,31,4,Agak Tahan
81,MALUKU,2024,62.68,31,4,Agak Tahan
81,MALUKU,2025,57.1792945,34,3,Agak Rentan
82,MALUKU UTARA,2019,66.58,22,5,Tahan
82,MALUKU UTARA,2020,63.12,30,4,Agak Tahan
82,MALUKU UTARA,2021,59.58,31,4,Agak Tahan
82,MALUKU UTARA,2022,58.39,32,4,Agak Tahan
82,MALUKU UTARA,2023,62.34,32,4,Agak Tahan
82,MALUKU UTARA,2024,61.44,32,4,Agak Tahan
82,MALUKU UTARA,2025,58.27174738,31,3,Agak Rentan
52,NUSA TENGGARA BARAT,2019,62.43,24,4,Agak Tahan
52,NUSA TENGGARA BARAT,2020,75.6,16,6,Sangat Tahan
52,NUSA TENGGARA BARAT,2021,75.67,16,6,Sangat Tahan
