PROVINSI,TAHUN,MPP_TOTAL_PCT,JUMLAH_RANTAI
ACEH,2019,5.91,2.0
BALI,2019,16.06,4.0
BANTEN,2019,12.42,2.0
BENGKULU,2019,4.97,2.0
DAERAH ISTIMEWA YOGYAKARTA,2019,14.82,3.0
DKI JAKARTA,2019,37.67,4.0
GORONTALO,2019,18.17,3.0
JAMBI,2019,23.12,3.0
JAWA BARAT,2019,10.64,2.0
JAWA TENGAH,2019,9.32,2.0
JAWA TIMUR,2019,34.15,4.0
KALIMANTAN BARAT,2019,14.17,2.0
KALIMANTAN SELATAN,2019,13.63,3.0
KALIMANTAN TENGAH,2019,14.21,3.0
KALIMANTAN TIMUR,2019,10.76,2.0
KALIMANTAN UTARA,2019,24.26,4.0
KEPULAUAN BANGKA BELITUNG,2019,22.74,4.0
KEPULAUAN RIAU,2019,29.03,3.0
LAMPUNG,2019,7.13,2.0
MALUKU,2019,32.71,3.0
MALUKU UTARA,2019,19.03,3.0
NUSA TENGGARA BARAT,2019,4.01,2.0
NUSA TENGGARA TIMUR,2019,23.51,2.0
PAPUA,2019,22.23,3.0
PAPUA BARAT,2019,19.91,3.0
PAPUA BARAT DAYA,2019,,
PAPUA PEGUNUNGAN,2019,,
PAPUA SELATAN,2019,,
PAPUA TENGAH,2019,,
RIAU,2019,18.14,3.0
SULAWESI BARAT,2019,22.23,2.0
SULAWESI SELATAN,2019,21.62,3.0
SULAWESI TENGAH,2019,8.69,2.0
SULAWESI TENGGARA,2019,9.51,2.0
SULAWESI UTARA,2019,14.52,2.0
SUMATERA BARAT,2019,12.99,2.0
SUMATERA SELATAN,2019,11.68,2.0
SUMATERA UTARA,2019,20.97,3.0
ACEH,2020,13.1,3.0
BALI,2020,15.74,3.0
BANTEN,2020,9.12,2.0
BENGKULU,2020,13.49,2.0
DAERAH ISTIMEWA YOGYAKARTA,2020,17.78,3.0
DKI JAKARTA,2020,20.01,3.0
GORONTALO,2020,18.87,3.0
JAMBI,2020,9.53,2.0
JAWA BARAT,2020,17.86,3.0
JAWA TENGAH,2020,19.2,3.0
JAWA TIMUR,2020,19.22,4.0
KALIMANTAN BARAT,2020,11.22,2.0
KALIMANTAN SELATAN,2020,11.99,3.0
KALIMANTAN TENGAH,2020,17.06,3.0
KALIMANTAN TIMUR,2020,11.12,2.0
KALIMANTAN UTARA,2020,19.77,3.0
KEPULAUAN BANGKA BELITUNG,2020,20.04,4.0
KEPULAUAN RIAU,2020,27.12,3.0
LAMPUNG,2020,14.45,3.0
MALUKU,2020,26.47,3.0
MALUKU UTARA,2020,25.4,4.0
NUSA TENGGARA BARAT,2020,15.14,3.0
NUSA TENGGARA TIMUR,2020,11.85,2.0
PAPUA,2020,25.13,3.0
PAPUA BARAT,2020,24.75,3.0
PAPUA BARAT DAYA,2020,,
PAPUA PEGUNUNGAN,2020,,
PAPUA SELATAN,2020,,
PAPUA TENGAH,2020,,
RIAU,2020,20.97,3.0
SULAWESI BARAT,2020,15.82,2.0
SULAWESI SELATAN,2020,18.62,3.0
SULAWESI TENGAH,2020,6.09,2.0
SULAWESI TENGGARA,2020,12.13,2.0
SULAWESI UTARA,2020,18.98,2.0
SUMATERA BARAT,2020,15.3,3.0
