PROVINSI,LUAS_PANEN_HA,PRODUKSI_TON,PRODUKTIVITAS_KUINTAL_HA
ACEH,301196.35,1659966.28,55.11
SUMATERA UTARA,419463.48,2204875.51,52.56
SUMATERA BARAT,295278.98,1356467.93,45.94
RIAU,56421.96,222055.71,39.36
JAMBI,61625.68,281022.05,45.6
SUMATERA SELATAN,521092.21,2909411.67,55.83
BENGKULU,55775.09,272848.55,48.92
LAMPUNG,531715.12,2791347.53,52.5
KEPULAUAN BANGKA BELITUNG,18202.56,77489.79,42.57
KEPULAUAN RIAU,113.33,305.09,26.92
DKI JAKARTA,498.31,2306.54,46.29
JAWA BARAT,1475362.09,8626879.91,58.47
JAWA TENGAH,1554777.14,8891297.05,57.19
DAERAH ISTIMEWA YOGYAKARTA,96976.13,452831.77,46.7
JAWA TIMUR,1616985.05,9270435.29,57.33
BANTEN,299090.79,1550623.46,51.84
BALI,103803.93,635473.35,61.22
NUSA TENGGARA BARAT,281717.84,1453408.37,51.59
NUSA TENGGARA TIMUR,168727.24,707792.54,41.95
KALIMANTAN BARAT,247207.72,764784.15,30.94
KALIMANTAN TENGAH,111016.13,366146.82,32.98
KALIMANTAN SELATAN,246112.42,1029567.93,41.83
KALIMANTAN TIMUR,63041.65,249642.9,39.6
KALIMANTAN UTARA,8282.06,30079.77,36.32
SULAWESI UTARA,59121.96,273134.94,46.2
SULAWESI TENGAH,172606.22,761936.39,44.14
SULAWESI SELATAN,951308.6,4818429.39,50.65
SULAWESI TENGGARA,129999.61,555836.08,42.76
GORONTALO,46952.15,234862.88,50.02
SULAWESI BARAT,63181.59,318876.59,50.47
MALUKU,23947.35,91125.35,38.05
MALUKU UTARA,9366.71,31232.95,33.34
PAPUA BARAT,5121.13,20729.15,40.48
PAPUA BARAT DAYA,363.87,988.64,27.17
PAPUA,1068.57,4609.95,43.14
PAPUA SELATAN,47168.57,217789.62,46.17
PAPUA TENGAH,1436.12,6072.38,42.28
PAPUA PEGUNUNGAN,9.66,42.38,43.87
